10B Boron10
11B Boron11
12C Carbon12
13C Carbon13
14C Carbon14
198Hg Mercury198
206Ac Actinium206
208Ac Actinium208
2H Hydrogen2
3H Hydrogen3
Ac Actinium
Ag Silver
Al Aluminium
Am Americium
Ar Argon
As Arsenic
At Astatine
Au Gold
Ba Barium
B Boron
Be Beryllium
Bh Bohrium
Bi Bismuth
Bk Berkelium
Br Bromine
Ca Calcium
C Carbon
Cd Cadmium
Ce Cerium
Cf Californium
Cl Chlorine
Cm Curium
Co Cobalt
Cr Chromium
Cs Cesium
Cu Copper
Db Dubnium
Ds Darmstadtium
Dy Dysprosium
Er Erbium
Es Einsteinium
Eu Europium
F Fluorine
Fe Iron
Fm Fermium
Fr Francium
Ga Gallium
Gd Gadolinium
Ge Germanium
H Hydrogen
He Helium
Hf Hafnium
Hg Mercury
Ho Holmium
Hs Hassium
I Iodine
In Indium
Ir Iridium
K Potassium
Kr Krypton
La Lanthanum
Li Lithium
Lr Lawrencium
Lu Lutetium
Md Mendelevium
Mg Magnesium
Mn Manganese
Mo Molybdenum
Mt Meitnerium
Na Sodium
Nb Niobium
N Nitrogen
Nd Neodymium
Ne Neon
Ni Nickel
No Nobelium
Np Neptunium
O Oxygen
Os Osmium
Pa Protactinium
Pb Lead
P Phosphorus
Pd Palladium
Pm Promethium
Po Polonium
Pr Praseodymium
Pt Platinum
Pu Plutonium
Ra Radium
Rb Rubidium
Re Rhenium
Rf Rutherfordium
Rh Rhodium
Rn Radon
Ru Ruthenium
Sb Antimony
Sc Scandium
S Sulfur
Se Selenium
Sg Seaborgium
Si Silicon
Sm Samarium
Sn Tin
Sr Strontium
Ta Tantalum
Tb Terbium
Tc Technetium
Te Tellurium
Th Thorium
Ti Titanium
Tl Thallium
Tm Thulium
U Uranium
V Vanadium
W Tungsten
Xe Xenon
Yb Ytterbium
Y Yttrium
Zn Zinc
Zr Zirconium
